Age,Education,MaritalStatus,Occupation,Income,Hours_spent_daily_online,Follow_favorite_brands_online,Interaction_with_brands_over_internet,ATT_FB_Ads1,ATT_FB_Ads2,Monthly_expenditure,OBB_1
40-50,Post Graduate,Married,@C:qPsyAxd6BWw8AaYzJ1T9hbJbDvmzmGHuu2+WBzdq5nZOIywqEoYHXPo=,10-15 Lakhs,Less than an hour,No,I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Agree,Agree,"Rs. 1,000-3,000",Agree
40-50,Post Graduate,Sinlge Partner,@C:UjD+OwnfxgVOsy6rJCFQ4Wzka6FTci8TGiviLOD5gH85gLlAW89p,5-10 Lakhs,More than five hours,"Yes, and it influences my online buying.",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Agree,Agree,"Less than Rs. 1,000",Agree
40-50,Post Graduate,Sinlge Partner,@C:B3f1mztDzcq7b2tz3Qk8sK+FLX2VzRbARm1+CQyOtEAr5kZ40lAGWEM=,5-10 Lakhs,Less than an hour,No,I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Disagree,Disagree,"Rs 3,000-5,000",Disagree
20-30,Under Graduate,Un married,@C:vvYC8xAUBRvwFrV2T3jXd4ChWGwSHtgoC4WlEbvHaLNjNrI=,5-10 Lakhs,One to Two hours,"Yes, and it influences my online buying.",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Agree,Strongly Agree,"Rs. 1,000-3,000",Disagree
40-50,Post Graduate,Sinlge Partner,@C:DHrW/dVgPNkiA4DwcVkn7Qq59+1Haifa48CIPtO60bofLQHnYvdumqA=,5-10 Lakhs,Less than an hour,No,I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Disagree,Disagree,"Rs 3,000-5,000",Disagree
40-50,Post Graduate,Married,@C:rQssdgrSDB8tv2J3mQ9ncghII9K0EHssKxivnPJqerBUUm9WpiU=,10-15 Lakhs,Three to four hours,"Yes, and it influences my online buying.",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Strongly Disagree,Strongly Disagree,"Rs 3,000-5,000",Strongly Disagree
40-50,Graduate,Married,@C:dmmoaXxQ77BCsaBraWE3SMtJdgz0frRtTzbZm12tQDvsdrS2D4PgLA==,5-10 Lakhs,Three to four hours,"Yes, and it influences my online buying.",I do not interact at all,Disagree,Strongly Disagree,"Rs. 1,000-3,000",Undecided
40-50,Post Graduate,Married,@C:63+HDkZCxez6rKAHhT4TtN/uP5jMyXYdeytIBjYZh/Xm1z+D30Cd,5-10 Lakhs,One to Two hours,"Yes, but it does not influence my online buying",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Strongly Agree,Strongly Agree,"Rs. 1,000-3,000",Agree
40-50,Graduate,Married,@C:mEjtIajzvCQmVvrNb0Nb6k5knM2NmqqXJ6ujvUAxm1v+qY3hcv1/,10-15 Lakhs,More than five hours,"Yes, but it does not influence my online buying",I ask questions about their products on community pages,Disagree,Strongly Disagree,"Rs. 1,000-3,000",Disagree
40-50,Post Graduate,Sinlge Partner,@C:oyDOxA4DxgIEnEuy4pUS0pgyEvB6t1NqvoL6fC1Qk8+8QXgZj6fC,5-10 Lakhs,One to Two hours,"Yes, and it influences my online buying.",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Disagree,Strongly Disagree,"Rs 3,000-5,000",Agree
30-40,Post Graduate,Married,@C:YD0aePwm2FgGiUiFMYkhMnXCMEp6cukpwdTw1MmNMza3iKjUBrc3PA==,More than 15 Lakhs,One to Two hours,"Yes, but it does not influence my online buying",I do not interact at all,Agree,Strongly Agree,"Rs. 1,000-3,000",Agree
30-40,Graduate,Un married,@C:gxNfRZ4gVoOA5N7r72YfwWsI5M2mg2QWHi7QpjSjXa/4jg0=,5-10 Lakhs,One to Two hours,"Yes, and it influences my online buying.",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Strongly Agree,Agree,"Rs. 1,000-3,000",Disagree
