Age,Education,MaritalStatus,Occupation,Income,Hours_spent_daily_online,Follow_favorite_brands_online,Interaction_with_brands_over_internet,ATT_FB_Ads1,ATT_FB_Ads2,Monthly_expenditure,OBB_1
30-40,Post Graduate,Married,@C:FjnNSsq7Xy7nE7NIvKC4nV7HxVhONTu6R41r0QYqtzrmrWg=,5-10 Lakhs,Three to four hours,"Yes, but it does not influence my online buying",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Agree,Strongly Agree,"Rs. 1,000-3,000",Strongly Agree
30-40,Post Graduate,Un married,@C:9DL/8b6gfgPMGfmIJUAcmMz6hiUzxVSM4sU4biLd2E2rMScVCkqrH54=,10-15 Lakhs,One to Two hours,"Yes, and it influences my online buying.",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Agree,Strongly Agree,"Rs. 1,000-3,000",Agree
30-40,Post Graduate,Married,@C:UfKc4XEy+GnzO/Lf0zF1udNrLhysWZTSTq4ffz1DQv2kkVG7z1gz,5-10 Lakhs,One to Two hours,"Yes, and it influences my online buying.",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Strongly Agree,Strongly Agree,"Rs. 1,000-3,000",Strongly Agree
30-40,PhD,Married,@C:dPebHXxmp9Ofew6BVflOYYPYVmCH4RMOcLpGsa7W85Ydi4SdqNsi,10-15 Lakhs,One to Two hours,"Yes, and it influences my online buying.",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Strongly Disagree,Disagree,"Rs. 1,000-3,000",Strongly Disagree
30-40,Post Graduate,Married,@C:7HJrNl1fYwKKVEL+ppX0N3Rsx0zbwFGHGsNjjq1B47lRX5vS8IFo,Upto 5 Lakhs,One to Two hours,"Yes, and it influences my online buying.",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Strongly Agree,Agree,"Rs. 1,000-3,000",Strongly Disagree
30-40,Post Graduate,Un married,@C:MykvD1b4f6xwRsS9eBx6FoJFCwQyhnMx+z8q+pW4d4xzA1/w2ZvS,Upto 5 Lakhs,One to Two hours,"Yes, and it influences my online buying.",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Strongly Agree,Agree,"Rs. 1,000-3,000",Strongly Agree
30-40,Post Graduate,Un married,@C:wCjHFa0neHBCM9InxN6z0akR9TerhnXFG2rWHkjIxZZ4Yo/eXANu1w==,Upto 5 Lakhs,One to Two hours,"Yes, and it influences my online buying.",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Agree,Strongly Agree,"Rs. 1,000-3,000",Agree
30-40,PhD,Married,@C:CMneuYzs88GeTujSwMv2U2Vw+JZBM98NsZ1lJFyu8/C/5FlxQp4QBA==,More than 15 Lakhs,One to Two hours,"Yes, but it does not influence my online buying",I do not interact at all,Strongly Agree,Agree,"Rs. 1,000-3,000",Agree
20-30,Post Graduate,Un married,@C:D0qKMbjwi0OTQonZ7ztcfSQadFetjfRz9wn+ktJb1BD1CHxqGw+R,5-10 Lakhs,Less than an hour,No,I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Strongly Agree,Agree,"Rs. 1,000-3,000",Agree
50-60,PhD,Widower,@C:OpVhN9bq797aiZ8bkxe+OH4XAcw6/80FdCXjPTRJ0D/LhW0mSJ4Tww==,10-15 Lakhs,Less than an hour,"Yes, but it does not influence my online buying",I only follow their channel/ feeds,Agree,Agree,"Rs. 1,000-3,000",Disagree
30-40,Graduate,Un married,@C:JrwwWOJKofnsnAiF2FcLf0T0k2iklLmV6MkYLloay+wjK0g=,5-10 Lakhs,One to Two hours,No,I only follow their channel/ feeds,Strongly Agree,Agree,"Rs 3,000-5,000",Strongly Agree
40-50,Graduate,Married,@C:9FpW5MC8Ps50h2Z24Ehf4sAoYDyM0sTf/nGt5ePrnx7Ov4hIQq8O,10-15 Lakhs,More than five hours,"Yes, but it does not influence my online buying",I ask questions about their products on community pages,Disagree,Strongly Disagree,"Rs. 1,000-3,000",Disagree
30-40,Post Graduate,Married,@C:Vop5b/35r9tn2gslFgGOGGlc5mQNdSpVgScDSE+hkANVX3U4VHo=,Upto 5 Lakhs,One to Two hours,No,I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Agree,Strongly Agree,"Rs. 1,000-3,000",Agree
20-30,Graduate,Un married,@C:+FRDlc6cHxCIevLyR2xV2Yu4JpdADB5tqyjWWZsx7kWFz0g=,5-10 Lakhs,Three to four hours,No,I do not interact at all,Strongly Agree,Agree,"Rs. 1,000-3,000",Strongly Agree
40-50,Post Graduate,Sinlge Partner,@C:VF808M8KazB/NWNhYxd8xMb5UzO8gNm3qIOJqBOk9Diu4kBF9myk,5-10 Lakhs,One to Two hours,"Yes, and it influences my online buying.",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Agree,Strongly Agree,"Rs. 1,000-3,000",Agree
30-40,Post Graduate,Un married,@C:fWK4FNoiCgD5AfomqvMhv3nu8PtDXvtOcGylc4FIfOXgkPKzS62m,5-10 Lakhs,Less than an hour,No,I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Strongly Agree,Agree,"Rs. 1,000-3,000",Agree
20-30,Post Graduate,Widower,@C:ocW7ZoGq/ZtbsIzZG1Ux8k6LOy+JPdf5bQvSjIk+OqqRBJJ+PF8rLA==,5-10 Lakhs,Less than an hour,No,I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Strongly Disagree,Disagree,"Rs. 1,000-3,000",Disagree
30-40,Post Graduate,Married,@C:aCdYo9ovKALPQknojjtyMmztqh1p2iqdtdj7zcUcqstFsJNAEJsD,5-10 Lakhs,One to Two hours,"Yes, and it influences my online buying.",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Strongly Agree,Agree,"Rs 3,000-5,000",Strongly Agree
40-50,Graduate,Married,@C:37kjQ61Q5efMftJuE9GSUO2uDwmoGSomO3g2HtZHXoDl2grj8io=,5-10 Lakhs,One to Two hours,"Yes, and it influences my online buying.",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Disagree,Strongly Disagree,"Rs. 1,000-3,000",Strongly Agree
40-50,Post Graduate,Married,@C:gOhB2Dg98PfCaDQowM8tM2lR2yy5mhUMmo3Uo7v+39xn30sOQskA8HA=,10-15 Lakhs,Less than an hour,No,I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Agree,Agree,"Rs. 1,000-3,000",Agree
30-40,Graduate,Un married,@C:7+Ovc9xzUEJjoEeFYmBvaPvLACdR40kBx4VdlGnrB86yStK0u3XM,5-10 Lakhs,One to Two hours,"Yes, and it influences my online buying.",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Agree,Strongly Agree,"Rs. 1,000-3,000",Disagree
50-60,Post Graduate,Widower,@C:jqCuff+C/mrtwvaNw6l8fcQbQyadTKDU6PMCPPpAu2C7veu2HClN,5-10 Lakhs,One to Two hours,"Yes, and it influences my online buying.",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Disagree,Strongly Disagree,"Rs 3,000-5,000",Agree
30-40,Post Graduate,Married,@C:ToTkvfxhx86FSZVyiSeA0zkwP5uwGBpoE4m2ucCtuOvXTtyiS5ncWw==,More than 15 Lakhs,One to Two hours,"Yes, but it does not influence my online buying",I do not interact at all,Strongly Agree,Agree,"Rs. 1,000-3,000",Agree
50-60,Post Graduate,Married,@C:oIsPQ57Jm0X2Ox/ULg2THdeZttuqmcp4Jy33c1E4Ua9pq+bJAEqZ,5-10 Lakhs,One to Two hours,"Yes, but it does not influence my online buying",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Strongly Agree,Agree,"Less than Rs. 1,000",Strongly Disagree
50-60,PhD,Married,@C:pWPshgOHQ4XQpeQpWuLMdoWGdtZXeL85hyhkhuAJ9v4yeh2iOmXPpQ==,10-15 Lakhs,One to Two hours,"Yes, and it influences my online buying.",I take part in their contests,Agree,Agree,"Rs. 1,000-3,000",Strongly Agree
50-60,Post Graduate,Married,@C:0TdmS6/Hk8cPfBjM3SqjJt3+9gJeKqemYTuOf149oiKi+yZzeM8=,More than 15 Lakhs,Three to four hours,"Yes, and it influences my online buying.",I ask questions about their products on community pages,Agree,Agree,"Rs. 1,000-3,000",Agree
50-60,PhD,Widower,@C:bR5nsZHBe7rkcnjGaSimbgOTQLdsIRDWhPL4Tunob5SXqXY6Hyr+,10-15 Lakhs,Less than an hour,"Yes, but it does not influence my online buying",I only follow their channel/ feeds,Agree,Agree,"Rs. 1,000-3,000",Disagree
50-60,Post Graduate,Widower,@C:yrHy+4hrNg9TpWIecnsN7/cAjn6+jU5SDYOpFt85O48PA4tBE3Jz,5-10 Lakhs,One to Two hours,"Yes, and it influences my online buying.",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Disagree,Strongly Disagree,"Rs 3,000-5,000",Agree
20-30,Post Graduate,Married,@C:9qG9NhKgCfSatER2WXUIZ0NsdQzB0FF4BomLVIrkrT2T/+JUolIJBHo=,10-15 Lakhs,Less than an hour,No,I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Agree,Agree,"Rs. 1,000-3,000",Agree
40-50,Post Graduate,Married,@C:wWZwGnXgyneYkodtJixYPralaIQx9i9d71L860sZFZ0xTX1OxLs=,10-15 Lakhs,Three to four hours,"Yes, and it influences my online buying.",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Strongly Disagree,Strongly Disagree,"Rs 3,000-5,000",Strongly Disagree
40-50,Graduate,Married,@C:jygCx1LMyt2E3FDV+oj1KSu5Vks03fPO3k20t5TDFBkJsq/1TfJh6Q==,5-10 Lakhs,Three to four hours,"Yes, and it influences my online buying.",I do not interact at all,Disagree,Strongly Disagree,"Rs. 1,000-3,000",Undecided
40-50,Post Graduate,Married,@C:LdyF4yGXJGDBmjiVX1zj2caaHbf2gG/+NRDWAim+gMtn9tQsCeiE,5-10 Lakhs,One to Two hours,"Yes, but it does not influence my online buying",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Strongly Agree,Strongly Agree,"Rs. 1,000-3,000",Agree
50-60,PhD,Widower,@C:kiXKAPEYsyVi13/EcW62zhBipT5k6Un9dwsinYWKbmD2XPd1PBh2,10-15 Lakhs,Less than an hour,"Yes, but it does not influence my online buying",I only follow their channel/ feeds,Agree,Agree,"Rs. 1,000-3,000",Disagree
40-50,Graduate,Married,@C:LvCi6LY7txHNcz05VrrzMUa6vtbSu210u2jGqFAclwtJtOGvMxAf,10-15 Lakhs,More than five hours,"Yes, but it does not influence my online buying",I ask questions about their products on community pages,Disagree,Strongly Disagree,"Rs. 1,000-3,000",Disagree
40-50,Post Graduate,Sinlge Partner,@C:RN8riv8qftFz+fVhS1R/5bO/ZcVNymJFQj35QfBGr4goHFbJmm2G,5-10 Lakhs,One to Two hours,"Yes, and it influences my online buying.",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Agree,Strongly Agree,"Rs. 1,000-3,000",Agree
40-50,Graduate,Married,@C:gSHqDIanlngYDGQt/xCVbAvXkEvSmCZg04aDclJA42RzTI98teE=,5-10 Lakhs,One to Two hours,"Yes, and it influences my online buying.",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Disagree,Strongly Disagree,"Rs. 1,000-3,000",Strongly Agree
40-50,Post Graduate,Married,@C:8SjNQkEKx1ciPU7/SF2WoaSS+kavIG1QkjC6KHHNWQvE5Sx7fqHnAIU=,10-15 Lakhs,Less than an hour,No,I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Agree,Agree,"Rs. 1,000-3,000",Agree
50-60,Post Graduate,Widower,@C:FzFZzDUXPZdtQp36hP725RvWh5UiHNHmFbpF2QIqASH9yWlZJb3r,5-10 Lakhs,One to Two hours,"Yes, and it influences my online buying.",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Disagree,Strongly Disagree,"Rs 3,000-5,000",Agree
50-60,Graduate,Married,@C:ZYXquR9arm8LoY8GeKChT0TTH1sCQFA9PAkIZY0EcH89bYloxdw=,5-10 Lakhs,One to Two hours,"Yes, but it does not influence my online buying",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Disagree,Undecided,"Less than Rs. 1,000",Strongly Disagree
50-60,Under Graduate,Married,@C:jhFuxyaq27Z+8/9Ay0C9krHbal5OVQf8E//nlAhhhtdrqslfLww=,10-15 Lakhs,Three to four hours,"Yes, and it influences my online buying.",I take part in their contests,Disagree,Strongly Disagree,"Rs. 1,000-3,000",Disagree
50-60,Post Graduate,Married,@C:v9dw5/aOY954wkloZVptRHHJTHSTzmoRBMFmFHh2nDCCbl2yaHc=,More than 15 Lakhs,Three to four hours,"Yes, and it influences my online buying.",I ask questions about their products on community pages,Agree,Agree,"Rs. 1,000-3,000",Agree
50-60,Post Graduate,Married,@C:8fuEXxI5OCi+Je2DGs1Yf2aO+Pj+k3DgaTdEu042C38pIeLeccFp,5-10 Lakhs,One to Two hours,"Yes, but it does not influence my online buying",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Strongly Agree,Agree,"Less than Rs. 1,000",Strongly Disagree
40-50,Post Graduate,Sinlge Partner,@C:wHy2TuBI+ozckVgfKh28AewiLbzc7hpNeSCK97QFKHeLOt0bN0mx,5-10 Lakhs,More than five hours,"Yes, and it influences my online buying.",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Agree,Agree,"Less than Rs. 1,000",Agree
50-60,PhD,Married,@C:0bKrKI9J48fMLf+S0fdxbWA0tS9qO+3Nsdnt9Zi70WT1gk3JI9YQpg==,10-15 Lakhs,Three to four hours,"Yes, and it influences my online buying.",I take part in their contests,Agree,Agree,"Rs. 1,000-3,000",Strongly Agree
40-50,Post Graduate,Sinlge Partner,@C:yAALKjKIVVDvbBnhnuQyt2UjzXbWee18laupX/Yz/81hIJ2mr/GA/78=,5-10 Lakhs,Less than an hour,No,I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Disagree,Disagree,"Rs 3,000-5,000",Disagree
